RANK_BALANCED,LGA_CODE,LGA_NAME,STATE,SCORE_BALANCED,OPPORTUNITY_TIER,STRATEGIC_SEGMENT,SCORE_MARKET_SIZE,SCORE_YOUTH_INTENSITY,SCORE_GROWTH_MOMENTUM,AGE_5_14_2024,AGE_5_14_SHARE_TOTAL_PCT,AGE_5_14_CHANGE_5Y,AGE_5_14_GROWTH_5Y_PCT,TOTAL_POP_2025,ROBUSTNESS_LABEL,SUGGESTED_RESPONSE
1,27260,Wyndham,Victoria,99.26940639269407,Tier 1 — Very High,Balanced High-Opportunity Market,98.08219178082192,100.0,99.72602739726028,56395.0,16.818263151616367,13313.0,30.901536604614456,347830.0,Robust Top-20,Priority acquisition investigation; test cricket capacity and targeted program expansion.
2,24650,Melton,Victoria,98.21917808219177,Tier 1 — Very High,Balanced High-Opportunity Market,96.16438356164385,98.9041095890411,99.58904109589042,35427.0,16.18454594461246,8438.0,31.264589277112897,231567.0,Robust Top-20,Priority acquisition investigation; test cricket capacity and targeted program expansion.
3,10750,Blacktown,New South Wales,97.21461187214612,Tier 1 — Very High,Balanced High-Opportunity Market,99.17808219178083,94.24657534246576,98.21917808219179,66024.0,15.02074839836925,9571.0,16.953926274954387,449385.0,Robust Top-20,Priority acquisition investigation; test cricket capacity and targeted program expansion.
4,33960,Ipswich,Queensland,96.57534246575342,Tier 1 — Very High,Balanced High-Opportunity Market,96.7123287671233,96.98630136986301,96.02739726027397,39679.0,15.31215510122176,4829.0,13.856527977044477,268272.0,Robust Top-20,Priority acquisition investigation; test cricket capacity and targeted program expansion.
5,11450,Camden,New South Wales,96.39269406392694,Tier 1 — Very High,Balanced High-Opportunity Market,91.23287671232877,98.63013698630137,99.31506849315068,22838.0,16.167579889280606,6449.0,39.34956373177131,146483.0,Robust Top-20,Priority acquisition investigation; test cricket capacity and targeted program expansion.
6,21610,Casey,Victoria,96.39269406392694,Tier 1 — Very High,Balanced High-Opportunity Market,98.9041095890411,92.87671232876711,97.3972602739726,60353.0,14.931174049004472,7925.0,15.115968566414892,414929.0,Robust Top-20,Priority acquisition investigation; test cricket capacity and targeted program expansion.
7,34590,Logan,Queensland,95.89041095890411,Tier 1 — Very High,Balanced High-Opportunity Market,98.63013698630137,92.6027397260274,96.43835616438356,58211.0,14.86620390943034,6746.0,13.107937433207034,403515.0,Robust Top-20,Priority acquisition investigation; test cricket capacity and targeted program expansion.
8,23270,Hume,Victoria,95.57077625570776,Tier 1 — Very High,Balanced High-Opportunity Market,96.98630136986301,92.05479452054794,97.67123287671232,40078.0,14.801874702230364,5973.0,17.513561061427943,278885.0,Robust Top-20,Priority acquisition investigation; test cricket capacity and targeted program expansion.
9,17420,The Hills,New South Wales,95.4794520547945,Tier 1 — Very High,Balanced High-Opportunity Market,94.79452054794521,93.97260273972603,97.67123287671232,32413.0,15.018325201669889,4994.0,18.213647470731974,222675.0,Robust Top-20,Priority acquisition investigation; test cricket capacity and targeted program expansion.
10,50210,Armadale,Western Australia,93.65296803652967,Tier 1 — Very High,Mixed / Moderate Opportunity,84.93150684931507,98.08219178082192,97.94520547945206,17292.0,15.773774230330673,3696.0,27.184466019417474,113003.0,Robust Top-20,Selective investigation; prioritise based on local context and strategic fit.
