variable_1,variable_2,n,spearman_rho,pearson_r
AGE_5_14_2024,GIRLS_5_14_2024,542,0.9996065046055207,0.9999639107674579
TOTAL_POP_2025,AGE_5_14_2024,542,0.9932446248145469,0.985313272756047
TOTAL_POP_2025,GIRLS_5_14_2024,542,0.9930228090423964,0.9852792824353692
AGE_5_14_GROWTH_5Y_PCT,GIRLS_5_14_GROWTH_5Y_PCT,541,0.8018702651125159,0.7662332889401331
AGE_5_14_CHANGE_5Y,AGE_5_14_GROWTH_5Y_PCT,541,0.7946140787610011,0.40229646402441355
TOTAL_POP_2025,POP_CHANGE_5Y,542,0.7902579682007556,0.8819780390172568
POP_CHANGE_5Y,AGE_5_14_2024,542,0.7817985741733307,0.9101509732269621
POP_CHANGE_5Y,GIRLS_5_14_2024,542,0.7809069819587122,0.9108616982168104
POP_CHANGE_5Y,POP_GROWTH_5Y_PCT,542,0.7547985917324381,0.4897449670669564
AGE_5_14_CHANGE_5Y,GIRLS_5_14_GROWTH_5Y_PCT,541,0.6925476636710444,0.3024143645182846
POP_GROWTH_5Y_PCT,AGE_5_14_GROWTH_5Y_PCT,541,0.5673498461110905,0.5753157316844761
POP_GROWTH_5Y_PCT,AGE_5_14_CHANGE_5Y,542,0.5427186289846516,0.5134059189547715
POP_GROWTH_5Y_PCT,GIRLS_5_14_GROWTH_5Y_PCT,541,0.4820250776423389,0.42575105803284785
POP_CHANGE_5Y,AGE_5_14_GROWTH_5Y_PCT,541,0.4134000760721579,0.2952819135664046
POP_CHANGE_5Y,IRSD_SCORE_2021,542,0.38016540909438656,0.14186076205333137
TOTAL_POP_2025,IRSD_SCORE_2021,542,0.3701140507238667,0.19725164074308196
AGE_5_14_SHARE_TOTAL_PCT,AGE_5_14_GROWTH_5Y_PCT,541,0.36185311709842277,0.3948196464057484
GIRLS_5_14_2024,IRSD_SCORE_2021,542,0.3564750043215483,0.18229551428266885
AGE_5_14_2024,IRSD_SCORE_2021,542,0.35563424730669835,0.1824023549688747
POP_CHANGE_5Y,GIRLS_5_14_GROWTH_5Y_PCT,541,0.3544679492880241,0.212168224790193
TOTAL_POP_2025,POP_GROWTH_5Y_PCT,542,0.3488773557144072,0.2847572251337584
POP_GROWTH_5Y_PCT,AGE_5_14_2024,542,0.34064107145111705,0.31628615659784615
POP_GROWTH_5Y_PCT,GIRLS_5_14_2024,542,0.3394852403716065,0.31647839064879446
POP_CHANGE_5Y,AGE_5_14_CHANGE_5Y,542,0.3219712375667967,0.8097858076651232
AGE_5_14_SHARE_TOTAL_PCT,AGE_5_14_CHANGE_5Y,542,0.3171556491077739,0.21136612946577193
AGE_5_14_SHARE_TOTAL_PCT,GIRLS_5_14_GROWTH_5Y_PCT,541,0.2830632451484841,0.27864808577549227
POP_GROWTH_5Y_PCT,IRSD_SCORE_2021,542,0.240388054914188,0.14422934428382203
AGE_5_14_GROWTH_5Y_PCT,IRSD_SCORE_2021,541,0.19106178995366785,0.0898394184535293
AGE_5_14_GROWTH_5Y_PCT,GIRLS_5_14_2024,541,0.1906466172167867,0.19499921881834317
AGE_5_14_2024,AGE_5_14_GROWTH_5Y_PCT,541,0.19034518461867042,0.19488237031629277
GIRLS_5_14_GROWTH_5Y_PCT,IRSD_SCORE_2021,541,0.16676050519849184,0.026554110575462034
TOTAL_POP_2025,AGE_5_14_GROWTH_5Y_PCT,541,0.1640442462874892,0.15790539403189943
GIRLS_5_14_2024,GIRLS_5_14_GROWTH_5Y_PCT,541,0.16123208979382064,0.13009285258212322
AGE_5_14_2024,GIRLS_5_14_GROWTH_5Y_PCT,541,0.1530061033854415,0.12932323330234563
TOTAL_POP_2025,GIRLS_5_14_GROWTH_5Y_PCT,541,0.13064105177278656,0.10037751088611613
AGE_5_14_SHARE_TOTAL_PCT,IRSD_SCORE_2021,542,-0.10351120031272983,-0.39596654687296184
AGE_5_14_CHANGE_5Y,IRSD_SCORE_2021,542,0.09471803295480989,0.06014502414445041
TOTAL_POP_2025,AGE_5_14_SHARE_TOTAL_PCT,542,-0.051530737428235544,-0.007265826997575073
AGE_5_14_2024,AGE_5_14_CHANGE_5Y,542,0.041010401440003,0.6033289092787338
AGE_5_14_CHANGE_5Y,GIRLS_5_14_2024,542,0.04031236602393618,0.6044842729716452
AGE_5_14_SHARE_TOTAL_PCT,GIRLS_5_14_2024,542,0.040196233563443456,0.06596731160815861
AGE_5_14_2024,AGE_5_14_SHARE_TOTAL_PCT,542,0.04010095651383703,0.06614924546904338
POP_GROWTH_5Y_PCT,AGE_5_14_SHARE_TOTAL_PCT,542,0.022138827101039465,0.052140956439949565
POP_CHANGE_5Y,AGE_5_14_SHARE_TOTAL_PCT,542,-0.01990634827095445,0.08285502169705879
TOTAL_POP_2025,AGE_5_14_CHANGE_5Y,542,0.016134021799730894,0.5129841933721103
