rank,LGA_CODE,LGA_NAME,STATE,AGE_5_14_CHANGE_5Y,TOTAL_POP_2025,AGE_5_14_2024,AGE_5_14_GROWTH_5Y_PCT
1,27260,Wyndham,Victoria,13313.0,347830.0,56395.0,30.901536604614456
2,10750,Blacktown,New South Wales,9571.0,449385.0,66024.0,16.953926274954387
3,24650,Melton,Victoria,8438.0,231567.0,35427.0,31.264589277112897
4,21610,Casey,Victoria,7925.0,414929.0,60353.0,15.115968566414892
5,34590,Logan,Queensland,6746.0,403515.0,58211.0,13.107937433207034
6,11450,Camden,New South Wales,6449.0,146483.0,22838.0,39.34956373177131
7,23270,Hume,Victoria,5973.0,278885.0,40078.0,17.513561061427943
8,31000,Brisbane,Queensland,5730.0,1375301.0,154379.0,3.8547181615752546
9,17420,The Hills,New South Wales,4994.0,222675.0,32413.0,18.213647470731974
10,33960,Ipswich,Queensland,4829.0,268272.0,39679.0,13.856527977044477
11,27070,Whittlesea,Victoria,4315.0,259759.0,35187.0,13.977066597564136
12,58050,Swan,Western Australia,3998.0,187090.0,25315.0,18.754984284843083
13,50210,Armadale,Western Australia,3696.0,113003.0,17292.0,27.184466019417474
14,36720,Sunshine Coast,Queensland,3479.0,381957.0,45613.0,8.256989604594864
15,14900,Liverpool,New South Wales,3100.0,261231.0,36975.0,9.15129151291513
16,89399,Unincorporated ACT,Australian Capital Territory,3092.0,484630.0,56692.0,5.76865671641791
17,11500,Campbelltown (NSW),New South Wales,2868.0,191285.0,27490.0,11.648119567866136
18,58760,Wanneroo,Western Australia,2706.0,246147.0,34092.0,8.621678455362265
19,22750,Greater Geelong,Victoria,2624.0,295052.0,33758.0,8.428085051711955
20,21450,Cardinia,Victoria,2541.0,133472.0,19236.0,15.220125786163521
