rank,LGA_CODE,LGA_NAME,STATE,AGE_5_14_GROWTH_5Y_PCT,TOTAL_POP_2025,AGE_5_14_2024,AGE_5_14_GROWTH_5Y_PCT
1,11450,Camden,New South Wales,39.34956373177131,146483.0,22838.0,39.34956373177131
2,24650,Melton,Victoria,31.264589277112897,231567.0,35427.0,31.264589277112897
3,27260,Wyndham,Victoria,30.901536604614456,347830.0,56395.0,30.901536604614456
4,50210,Armadale,Western Australia,27.184466019417474,113003.0,17292.0,27.184466019417474
5,57700,Serpentine-Jarrahdale,Western Australia,27.063301282051285,40531.0,6343.0,27.063301282051285
6,53430,Fremantle,Western Australia,26.5625,37542.0,3726.0,26.5625
7,24850,Mitchell,Victoria,25.471698113207548,58459.0,7980.0,25.471698113207548
8,54830,Kwinana,Western Australia,22.267845862286798,57422.0,7742.0,22.267845862286798
9,58050,Swan,Western Australia,18.754984284843083,187090.0,25315.0,18.754984284843083
10,17420,The Hills,New South Wales,18.213647470731974,222675.0,32413.0,18.213647470731974
11,50250,Ashburton,Western Australia,17.877629063097515,8335.0,1233.0,17.877629063097515
12,23270,Hume,Victoria,17.513561061427943,278885.0,40078.0,17.513561061427943
13,10750,Blacktown,New South Wales,16.953926274954387,449385.0,66024.0,16.953926274954387
14,50280,Augusta Margaret River,Western Australia,16.810344827586206,20170.0,2710.0,16.810344827586206
15,45680,Playford,South Australia,16.305171107897817,115790.0,16891.0,16.305171107897817
16,21450,Cardinia,Victoria,15.220125786163521,133472.0,19236.0,15.220125786163521
17,21610,Casey,Victoria,15.115968566414892,414929.0,60353.0,15.115968566414892
18,26490,Surf Coast,Victoria,14.867180805484148,40265.0,5362.0,14.867180805484148
19,40150,Adelaide Plains,South Australia,14.423076923076922,11736.0,1428.0,14.423076923076922
20,27070,Whittlesea,Victoria,13.977066597564136,259759.0,35187.0,13.977066597564136
