rank,LGA_CODE,LGA_NAME,STATE,AGE_5_14_2024,TOTAL_POP_2025,AGE_5_14_2024,AGE_5_14_GROWTH_5Y_PCT
1,31000,Brisbane,Queensland,154379.0,1375301.0,154379.0,3.8547181615752546
2,33430,Gold Coast,Queensland,78949.0,691230.0,78949.0,3.2850153065229337
3,35010,Moreton Bay,Queensland,68488.0,532445.0,68488.0,2.5515093435553426
4,10750,Blacktown,New South Wales,66024.0,449385.0,66024.0,16.953926274954387
5,21610,Casey,Victoria,60353.0,414929.0,60353.0,15.115968566414892
6,34590,Logan,Queensland,58211.0,403515.0,58211.0,13.107937433207034
7,89399,Unincorporated ACT,Australian Capital Territory,56692.0,484630.0,56692.0,5.76865671641791
8,27260,Wyndham,Victoria,56395.0,347830.0,56395.0,30.901536604614456
9,11570,Canterbury-Bankstown,New South Wales,48402.0,389687.0,48402.0,-2.350354066213408
10,36720,Sunshine Coast,Queensland,45613.0,381957.0,45613.0,8.256989604594864
11,11650,Central Coast (NSW),New South Wales,42896.0,357816.0,42896.0,-1.1863352606482227
12,23270,Hume,Victoria,40078.0,278885.0,40078.0,17.513561061427943
13,33960,Ipswich,Queensland,39679.0,268272.0,39679.0,13.856527977044477
14,14900,Liverpool,New South Wales,36975.0,261231.0,36975.0,9.15129151291513
15,24650,Melton,Victoria,35427.0,231567.0,35427.0,31.264589277112897
16,27070,Whittlesea,Victoria,35187.0,259759.0,35187.0,13.977066597564136
17,58760,Wanneroo,Western Australia,34092.0,246147.0,34092.0,8.621678455362265
18,22750,Greater Geelong,Victoria,33758.0,295052.0,33758.0,8.428085051711955
19,15990,Northern Beaches,New South Wales,32915.0,272656.0,32915.0,-8.086900672977576
20,17420,The Hills,New South Wales,32413.0,222675.0,32413.0,18.213647470731974
