rank,LGA_CODE,LGA_NAME,STATE,AGE_5_14_SHARE_TOTAL_PCT,TOTAL_POP_2025,AGE_5_14_2024,AGE_5_14_GROWTH_5Y_PCT
1,27260,Wyndham,Victoria,16.818263151616367,347830.0,56395.0,30.901536604614456
2,70420,Barkly,Northern Territory,16.481431282190297,7448.0,1216.0,1.3333333333333335
3,54310,Karratha,Western Australia,16.379934078302114,25429.0,4075.0,9.22004824443849
4,57700,Serpentine-Jarrahdale,Western Australia,16.35088804681257,40531.0,6343.0,27.063301282051285
5,24650,Melton,Victoria,16.18454594461246,231567.0,35427.0,31.264589277112897
6,11450,Camden,New South Wales,16.167579889280606,146483.0,22838.0,39.34956373177131
7,74660,West Arnhem,Northern Territory,15.954340323865146,7608.0,1202.0,-1.556101556101556
8,50210,Armadale,Western Australia,15.773774230330673,113003.0,17292.0,27.184466019417474
9,32270,Central Highlands (Qld),Queensland,15.53189310945019,29481.0,4551.0,0.3970880211780278
10,59340,Wyndham-East Kimberley,Western Australia,15.489260143198091,8441.0,1298.0,9.721048182586644
11,52800,Derby-West Kimberley,Western Australia,15.402567094515755,8683.0,1320.0,-1.4189693801344287
12,33960,Ipswich,Queensland,15.31215510122176,268272.0,39679.0,13.856527977044477
13,72330,MacDonnell,Northern Territory,15.275544511036399,6978.0,1045.0,8.290155440414509
14,72800,Palmerston,Northern Territory,15.268357935744293,43193.0,6506.0,5.70268074735987
15,13550,Gunnedah,New South Wales,15.215446548382285,13502.0,2041.0,7.477619799894682
16,14750,Leeton,New South Wales,15.197356981394542,11475.0,1748.0,1.7462165308498252
17,22490,Golden Plains,Victoria,15.165732158523095,26620.0,3976.0,3.3264033264033266
18,45680,Playford,South Australia,15.157987310760726,115790.0,16891.0,16.305171107897817
19,35300,Mount Isa,Queensland,15.145527369826436,18585.0,2836.0,-2.6433230346721595
20,57280,Port Hedland,Western Australia,15.064905488499203,17743.0,2646.0,10.618729096989966
