rank,LGA_CODE,LGA_NAME,STATE,POP_GROWTH_5Y_PCT,TOTAL_POP_2025,AGE_5_14_2024,AGE_5_14_GROWTH_5Y_PCT
1,24650,Melton,Victoria,33.417259140615094,231567.0,35427.0,31.264589277112897
2,11450,Camden,New South Wales,30.263848253906144,146483.0,22838.0,39.34956373177131
3,57700,Serpentine-Jarrahdale,Western Australia,24.95298578783488,40531.0,6343.0,27.063301282051285
4,54830,Kwinana,Western Australia,24.17446964946046,57422.0,7742.0,22.267845862286798
5,58050,Swan,Western Australia,21.610202542835598,187090.0,25315.0,18.754984284843083
6,24850,Mitchell,Victoria,21.60464293886381,58459.0,7980.0,25.471698113207548
7,40150,Adelaide Plains,South Australia,21.277255347731735,11736.0,1428.0,14.423076923076922
8,27260,Wyndham,Victoria,21.07194074321596,347830.0,56395.0,30.901536604614456
9,57080,Perth,Western Australia,20.565769906718938,35673.0,1027.0,7.314524555903866
10,50280,Augusta Margaret River,Western Australia,20.116722248689854,20170.0,2710.0,16.810344827586206
11,17420,The Hills,New South Wales,19.318729838925744,222675.0,32413.0,18.213647470731974
12,50210,Armadale,Western Australia,18.988101505738655,113003.0,17292.0,27.184466019417474
13,33960,Ipswich,Queensland,18.29718932171551,268272.0,39679.0,13.856527977044477
14,51680,Chittering,Western Australia,18.2627688172043,7039.0,891.0,4.700352526439483
15,44550,Mount Barker,South Australia,18.073077527089985,45111.0,5633.0,12.255878836189718
16,45680,Playford,South Australia,17.603445123809138,115790.0,16891.0,16.305171107897817
17,56230,Murray,Western Australia,17.363467221188575,21447.0,2561.0,9.025117071094083
18,34590,Logan,Queensland,17.36194124268151,403515.0,58211.0,13.107937433207034
19,53570,Gingin,Western Australia,17.358759579397613,6585.0,607.0,4.1166380789022305
20,55110,Mandurah,Western Australia,17.248002458512598,106827.0,11923.0,9.105051244509516
