rank,LGA_NAME,STATE,AGE_5_14_CHANGE_5Y,AGE_5_14_GROWTH_5Y_PCT,geographic_cluster
1,Wyndham,Victoria,13313.0,30.901536604614456,Melbourne outer growth belt
2,Blacktown,New South Wales,9571.0,16.953926274954387,Western / south-west Sydney
3,Melton,Victoria,8438.0,31.264589277112897,Melbourne outer growth belt
4,Casey,Victoria,7925.0,15.115968566414892,Melbourne outer growth belt
5,Logan,Queensland,6746.0,13.107937433207034,South East Queensland
6,Camden,New South Wales,6449.0,39.34956373177131,Western / south-west Sydney
7,Hume,Victoria,5973.0,17.513561061427943,Melbourne outer growth belt
8,Brisbane,Queensland,5730.0,3.8547181615752546,South East Queensland
9,The Hills,New South Wales,4994.0,18.213647470731974,Western / south-west Sydney
10,Ipswich,Queensland,4829.0,13.856527977044477,South East Queensland
11,Whittlesea,Victoria,4315.0,13.977066597564136,Melbourne outer growth belt
12,Swan,Western Australia,3998.0,18.754984284843083,Perth growth belt
13,Armadale,Western Australia,3696.0,27.184466019417474,Perth growth belt
14,Sunshine Coast,Queensland,3479.0,8.256989604594864,South East Queensland
15,Liverpool,New South Wales,3100.0,9.15129151291513,Western / south-west Sydney
16,Unincorporated ACT,Australian Capital Territory,3092.0,5.76865671641791,ACT
17,Campbelltown (NSW),New South Wales,2868.0,11.648119567866136,Western / south-west Sydney
18,Wanneroo,Western Australia,2706.0,8.621678455362265,Perth growth belt
19,Greater Geelong,Victoria,2624.0,8.428085051711955,Greater Geelong
20,Cardinia,Victoria,2541.0,15.220125786163521,Melbourne outer growth belt
