LGA_CODE,LGA_NAME,STATE,AGE_DATA_AVAILABLE,TOTAL_POP_2025,AGE_5_14_2019,MODEL_V1_ELIGIBLE,reason_if_not_eligible
10050,Albury,New South Wales,1,59538,6800,1,
10180,Armidale,New South Wales,1,29652,3812,1,
10250,Ballina,New South Wales,1,48603,5271,1,
10300,Balranald,New South Wales,1,2244,316,0,"Below 5,000 total-population guardrail"
10470,Bathurst,New South Wales,1,45359,5795,1,
10500,Bayside (NSW),New South Wales,1,187770,17091,1,
10550,Bega Valley,New South Wales,1,36921,3909,1,
10600,Bellingen,New South Wales,1,13348,1688,1,
10650,Berrigan,New South Wales,1,8773,1026,1,
10750,Blacktown,New South Wales,1,449385,56453,1,
10800,Bland,New South Wales,1,5455,780,1,
10850,Blayney,New South Wales,1,7831,1088,1,
10900,Blue Mountains,New South Wales,1,79236,10095,1,
10950,Bogan,New South Wales,1,2373,324,0,"Below 5,000 total-population guardrail"
11150,Bourke,New South Wales,1,2310,356,0,"Below 5,000 total-population guardrail"
11200,Brewarrina,New South Wales,1,1396,241,0,"Below 5,000 total-population guardrail"
11250,Broken Hill,New South Wales,1,17515,2041,1,
11300,Burwood,New South Wales,1,43927,3291,1,
11350,Byron,New South Wales,1,38784,4015,1,
11400,Cabonne,New South Wales,1,13915,2069,1,
11450,Camden,New South Wales,1,146483,16389,1,
11500,Campbelltown (NSW),New South Wales,1,191285,24622,1,
11520,Canada Bay,New South Wales,1,93006,9655,1,
11570,Canterbury-Bankstown,New South Wales,1,389687,49567,1,
11600,Carrathool,New South Wales,1,2803,369,0,"Below 5,000 total-population guardrail"
11650,Central Coast (NSW),New South Wales,1,357816,43411,1,
11700,Central Darling,New South Wales,1,1773,218,0,"Below 5,000 total-population guardrail"
11720,Cessnock,New South Wales,1,71443,8286,1,
11730,Clarence Valley,New South Wales,1,56874,6148,1,
11750,Cobar,New South Wales,1,4019,581,0,"Below 5,000 total-population guardrail"
11800,Coffs Harbour,New South Wales,1,82109,9954,1,
12000,Coolamon,New South Wales,1,4742,616,0,"Below 5,000 total-population guardrail"
12150,Coonamble,New South Wales,1,3889,528,0,"Below 5,000 total-population guardrail"
12160,Cootamundra-Gundagai,New South Wales,1,11429,1429,1,
12350,Cowra,New South Wales,1,12721,1535,1,
12380,Cumberland,New South Wales,1,256906,30734,1,
12390,Dubbo,New South Wales,1,57384,7616,1,
12700,Dungog,New South Wales,1,10102,1216,1,
12730,Edward River,New South Wales,1,8501,1061,1,
12750,Eurobodalla,New South Wales,1,41309,4039,1,
12850,Fairfield,New South Wales,1,213677,27962,1,
12870,Federation,New South Wales,1,13247,1477,1,
12900,Forbes,New South Wales,1,9301,1343,1,
12930,Georges River,New South Wales,1,163919,17098,1,
12950,Gilgandra,New South Wales,1,4304,590,0,"Below 5,000 total-population guardrail"
13010,Glen Innes Severn,New South Wales,1,9069,1033,1,
13310,Goulburn Mulwaree,New South Wales,1,33746,3975,1,
13340,Greater Hume,New South Wales,1,11742,1631,1,
13450,Griffith,New South Wales,1,27458,3615,1,
13550,Gunnedah,New South Wales,1,13502,1899,1,
13660,Gwydir,New South Wales,1,4968,667,0,"Below 5,000 total-population guardrail"
13800,Hawkesbury,New South Wales,1,69299,8956,1,
13850,Hay,New South Wales,1,2899,323,0,"Below 5,000 total-population guardrail"
13910,Hilltops,New South Wales,1,19347,2596,1,
14000,Hornsby,New South Wales,1,155484,21154,1,
14100,Hunters Hill,New South Wales,1,13983,1953,1,
14170,Inner West,New South Wales,1,193125,18544,1,
14220,Inverell,New South Wales,1,18152,2462,1,
14300,Junee,New South Wales,1,6403,742,1,
14350,Kempsey,New South Wales,1,31950,3633,1,
14400,Kiama,New South Wales,1,23139,2663,1,
14500,Ku-ring-gai,New South Wales,1,128542,18898,1,
14550,Kyogle,New South Wales,1,9707,1116,1,
14600,Lachlan,New South Wales,1,6118,938,1,
14650,Lake Macquarie,New South Wales,1,224540,26293,1,
14700,Lane Cove,New South Wales,1,43094,4739,1,
14750,Leeton,New South Wales,1,11475,1718,1,
14850,Lismore,New South Wales,1,43642,5601,1,
14870,Lithgow,New South Wales,1,20693,2495,1,
14900,Liverpool,New South Wales,1,261231,33875,1,
14920,Liverpool Plains,New South Wales,1,7671,1003,1,
14950,Lockhart,New South Wales,1,3509,458,0,"Below 5,000 total-population guardrail"
15050,Maitland,New South Wales,1,100439,12465,1,
15240,Mid-Coast,New South Wales,1,99448,10294,1,
15270,Mid-Western,New South Wales,1,26472,3473,1,
15300,Moree Plains,New South Wales,1,12845,1851,1,
15350,Mosman,New South Wales,1,29374,3551,1,
15520,Murray River,New South Wales,1,14030,1494,1,
15560,Murrumbidgee,New South Wales,1,3695,490,0,"Below 5,000 total-population guardrail"
15650,Muswellbrook,New South Wales,1,16859,2485,1,
15700,Nambucca Valley,New South Wales,1,21237,2338,1,
15750,Narrabri,New South Wales,1,12797,1878,1,
15800,Narrandera,New South Wales,1,5761,854,1,
15850,Narromine,New South Wales,1,6420,1006,1,
15900,Newcastle,New South Wales,1,178935,18612,1,
15950,North Sydney,New South Wales,1,73705,5442,1,
15990,Northern Beaches,New South Wales,1,272656,35811,1,
16100,Oberon,New South Wales,1,5595,656,1,
16150,Orange,New South Wales,1,44990,6322,1,
16200,Parkes,New South Wales,1,14175,2128,1,
16260,Parramatta,New South Wales,1,279014,29386,1,
16350,Penrith,New South Wales,1,231701,29627,1,
16380,Port Macquarie-Hastings,New South Wales,1,92432,10069,1,
16400,Port Stephens,New South Wales,1,80070,9218,1,
16490,Queanbeyan-Palerang,New South Wales,1,67633,7805,1,
16550,Randwick,New South Wales,1,146484,14548,1,
16610,Richmond Valley,New South Wales,1,24044,3154,1,
16700,Ryde,New South Wales,1,141693,13465,1,
16900,Shellharbour,New South Wales,1,83228,9743,1,
16950,Shoalhaven,New South Wales,1,111755,11927,1,
17000,Singleton,New South Wales,1,25841,3538,1,
17040,Snowy Monaro,New South Wales,1,22396,2576,1,
17080,Snowy Valleys,New South Wales,1,15058,1900,1,
17100,Strathfield,New South Wales,1,49203,4348,1,
17150,Sutherland,New South Wales,1,241327,29393,1,
17200,Sydney,New South Wales,1,241797,8857,1,
17310,Tamworth,New South Wales,1,66403,9024,1,
17350,Temora,New South Wales,1,6050,815,1,
17400,Tenterfield,New South Wales,1,7188,751,1,
17420,The Hills,New South Wales,1,222675,27419,1,
17550,Tweed,New South Wales,1,101044,11470,1,
17620,Upper Hunter,New South Wales,1,14425,2029,1,
17640,Upper Lachlan,New South Wales,1,9005,958,1,
17650,Uralla,New South Wales,1,6179,835,1,
17750,Wagga Wagga,New South Wales,1,69108,9061,1,
17850,Walcha,New South Wales,1,2989,359,0,"Below 5,000 total-population guardrail"
17900,Walgett,New South Wales,1,5437,762,1,
17950,Warren,New South Wales,1,2606,347,0,"Below 5,000 total-population guardrail"
18020,Warrumbungle,New South Wales,1,9246,1186,1,
18050,Waverley,New South Wales,1,73345,7356,1,
18100,Weddin,New South Wales,1,3558,431,0,"Below 5,000 total-population guardrail"
18200,Wentworth,New South Wales,1,7982,935,1,
18250,Willoughby,New South Wales,1,80520,10594,1,
18350,Wingecarribee,New South Wales,1,53840,6300,1,
18400,Wollondilly,New South Wales,1,62080,7970,1,
18450,Wollongong,New South Wales,1,224327,25880,1,
18500,Woollahra,New South Wales,1,55218,5868,1,
18710,Yass Valley,New South Wales,1,17663,2494,1,
19399,Unincorporated NSW,New South Wales,1,975,128,0,Residual unincorporated-area record excluded from national comparison
20110,Alpine,Victoria,1,13236,1502,1,
20260,Ararat,Victoria,1,11732,1243,1,
20570,Ballarat,Victoria,1,122661,14220,1,
20660,Banyule,Victoria,1,132770,15692,1,
20740,Bass Coast,Victoria,1,44377,4101,1,
20830,Baw Baw,Victoria,1,62784,7077,1,
20910,Bayside (Vic.),Victoria,1,107164,14030,1,
21010,Benalla,Victoria,1,14581,1512,1,
21110,Boroondara,Victoria,1,178601,21988,1,
21180,Brimbank,Victoria,1,198181,24185,1,
21270,Buloke,Victoria,1,5887,704,1,
21370,Campaspe,Victoria,1,37954,4774,1,
21450,Cardinia,Victoria,1,133472,16695,1,
21610,Casey,Victoria,1,414929,52428,1,
21670,Central Goldfields,Victoria,1,13753,1483,1,
21750,Colac Otway,Victoria,1,22209,2590,1,
21830,Corangamite,Victoria,1,15712,2069,1,
21890,Darebin,Victoria,1,162496,15674,1,
22110,East Gippsland,Victoria,1,49669,5160,1,
22170,Frankston,Victoria,1,145369,17608,1,
22250,Gannawarra,Victoria,1,10311,1181,1,
22310,Glen Eira,Victoria,1,163025,19270,1,
22410,Glenelg,Victoria,1,19908,2192,1,
22490,Golden Plains,Victoria,1,26620,3848,1,
22620,Greater Bendigo,Victoria,1,126568,15337,1,
22670,Greater Dandenong,Victoria,1,168684,18578,1,
22750,Greater Geelong,Victoria,1,295052,31134,1,
22830,Greater Shepparton,Victoria,1,69865,9096,1,
22910,Hepburn,Victoria,1,17011,1734,1,
22980,Hindmarsh,Victoria,1,5447,588,1,
23110,Hobsons Bay,Victoria,1,97031,11529,1,
23190,Horsham,Victoria,1,20252,2591,1,
23270,Hume,Victoria,1,278885,34105,1,
23350,Indigo,Victoria,1,17758,2192,1,
23430,Kingston (Vic.),Victoria,1,168061,19272,1,
23670,Knox,Victoria,1,163820,19192,1,
23810,Latrobe (Vic.),Victoria,1,79112,9328,1,
23940,Loddon,Victoria,1,7718,846,1,
24130,Macedon Ranges,Victoria,1,54464,7212,1,
24210,Manningham,Victoria,1,132912,14689,1,
24250,Mansfield,Victoria,1,10979,1272,1,
24330,Maribyrnong,Victoria,1,94672,8623,1,
24410,Maroondah,Victoria,1,120247,14459,1,
24600,Melbourne,Victoria,1,194481,6020,1,
24650,Melton,Victoria,1,231567,26989,1,
24700,Merri-bek,Victoria,1,189108,17671,1,
24780,Mildura,Victoria,1,57309,7352,1,
24850,Mitchell,Victoria,1,58459,6360,1,
24900,Moira,Victoria,1,30866,3636,1,
24970,Monash,Victoria,1,211833,21892,1,
25060,Moonee Valley,Victoria,1,130501,13982,1,
25150,Moorabool,Victoria,1,40472,5050,1,
25340,Mornington Peninsula,Victoria,1,172217,20263,1,
25430,Mount Alexander,Victoria,1,20939,2068,1,
25490,Moyne,Victoria,1,17760,2384,1,
25620,Murrindindi,Victoria,1,15648,1606,1,
25710,Nillumbik,Victoria,1,63797,8842,1,
25810,Northern Grampians,Victoria,1,11804,1216,1,
25900,Port Phillip,Victoria,1,114434,8126,1,
25990,Pyrenees,Victoria,1,7957,790,1,
26080,Queenscliffe,Victoria,1,3317,219,0,"Below 5,000 total-population guardrail"
26170,South Gippsland,Victoria,1,31109,3698,1,
26260,Southern Grampians,Victoria,1,16483,1971,1,
26350,Stonnington,Victoria,1,114789,9042,1,
26430,Strathbogie,Victoria,1,11839,1090,1,
26490,Surf Coast,Victoria,1,40265,4668,1,
26610,Swan Hill,Victoria,1,20962,2732,1,
26670,Towong,Victoria,1,6158,677,1,
26700,Wangaratta,Victoria,1,30089,3696,1,
26730,Warrnambool,Victoria,1,36255,4304,1,
26810,Wellington,Victoria,1,46551,5387,1,
26890,West Wimmera,Victoria,1,3915,461,0,"Below 5,000 total-population guardrail"
26980,Whitehorse,Victoria,1,185256,20207,1,
27070,Whittlesea,Victoria,1,259759,30872,1,
27170,Wodonga,Victoria,1,44717,5880,1,
27260,Wyndham,Victoria,1,347830,43082,1,
27350,Yarra,Victoria,1,101356,6304,1,
27450,Yarra Ranges,Victoria,1,160906,20348,1,
27630,Yarriambiack,Victoria,1,6295,769,1,
29399,Unincorporated Vic,Victoria,1,917,84,0,Residual unincorporated-area record excluded from national comparison
30250,Aurukun,Queensland,1,1165,224,0,"Below 5,000 total-population guardrail"
30300,Balonne,Queensland,1,4350,603,0,"Below 5,000 total-population guardrail"
30370,Banana,Queensland,1,15144,2131,1,
