RANK_BALANCED,LGA_NAME,STATE,SCORE_BALANCED,OPPORTUNITY_TIER,STRATEGIC_SEGMENT,SCORE_MARKET_SIZE,SCORE_YOUTH_INTENSITY,SCORE_GROWTH_MOMENTUM,SUGGESTED_RESPONSE
1,Wyndham,Victoria,99.26940639269407,Tier 1 — Very High,Balanced High-Opportunity Market,98.08219178082192,100.0,99.72602739726028,Priority acquisition investigation; test cricket capacity and targeted program expansion.
2,Melton,Victoria,98.21917808219177,Tier 1 — Very High,Balanced High-Opportunity Market,96.16438356164385,98.9041095890411,99.58904109589042,Priority acquisition investigation; test cricket capacity and targeted program expansion.
3,Blacktown,New South Wales,97.21461187214612,Tier 1 — Very High,Balanced High-Opportunity Market,99.17808219178083,94.24657534246576,98.21917808219179,Priority acquisition investigation; test cricket capacity and targeted program expansion.
4,Ipswich,Queensland,96.57534246575342,Tier 1 — Very High,Balanced High-Opportunity Market,96.7123287671233,96.98630136986301,96.02739726027397,Priority acquisition investigation; test cricket capacity and targeted program expansion.
5,Camden,New South Wales,96.39269406392694,Tier 1 — Very High,Balanced High-Opportunity Market,91.23287671232877,98.63013698630137,99.31506849315068,Priority acquisition investigation; test cricket capacity and targeted program expansion.
6,Casey,Victoria,96.39269406392694,Tier 1 — Very High,Balanced High-Opportunity Market,98.9041095890411,92.87671232876711,97.3972602739726,Priority acquisition investigation; test cricket capacity and targeted program expansion.
7,Logan,Queensland,95.89041095890411,Tier 1 — Very High,Balanced High-Opportunity Market,98.63013698630137,92.6027397260274,96.43835616438356,Priority acquisition investigation; test cricket capacity and targeted program expansion.
8,Hume,Victoria,95.57077625570776,Tier 1 — Very High,Balanced High-Opportunity Market,96.98630136986301,92.05479452054794,97.67123287671232,Priority acquisition investigation; test cricket capacity and targeted program expansion.
9,The Hills,New South Wales,95.4794520547945,Tier 1 — Very High,Balanced High-Opportunity Market,94.79452054794521,93.97260273972603,97.67123287671232,Priority acquisition investigation; test cricket capacity and targeted program expansion.
10,Armadale,Western Australia,93.65296803652967,Tier 1 — Very High,Mixed / Moderate Opportunity,84.93150684931507,98.08219178082192,97.94520547945206,Selective investigation; prioritise based on local context and strategic fit.
11,Liverpool,New South Wales,93.0593607305936,Tier 1 — Very High,Balanced High-Opportunity Market,96.43835616438356,90.41095890410958,92.32876712328768,Priority acquisition investigation; test cricket capacity and targeted program expansion.
12,Campbelltown (NSW),New South Wales,92.87671232876711,Tier 1 — Very High,Balanced High-Opportunity Market,93.15068493150685,91.23287671232877,94.24657534246575,Priority acquisition investigation; test cricket capacity and targeted program expansion.
13,Whittlesea,Victoria,92.28310502283104,Tier 1 — Very High,Mixed / Moderate Opportunity,95.8904109589041,84.93150684931507,96.02739726027397,Selective investigation; prioritise based on local context and strategic fit.
14,Swan,Western Australia,91.91780821917808,Tier 1 — Very High,Balanced High-Opportunity Market,92.05479452054794,86.3013698630137,97.39726027397259,Priority acquisition investigation; test cricket capacity and targeted program expansion.
15,Wanneroo,Western Australia,91.87214611872146,Tier 1 — Very High,Balanced High-Opportunity Market,95.61643835616438,89.04109589041096,90.95890410958904,Priority acquisition investigation; test cricket capacity and targeted program expansion.
16,Playford,South Australia,91.55251141552512,Tier 1 — Very High,Mixed / Moderate Opportunity,84.10958904109589,95.34246575342465,95.2054794520548,Selective investigation; prioritise based on local context and strategic fit.
17,Cardinia,Victoria,91.5068493150685,Tier 1 — Very High,Balanced High-Opportunity Market,87.3972602739726,91.78082191780823,95.34246575342465,Priority acquisition investigation; test cricket capacity and targeted program expansion.
18,Rockingham,Western Australia,88.7214611872146,Tier 2 — High,Balanced High-Opportunity Market,90.13698630136986,87.94520547945206,88.08219178082192,Priority acquisition investigation; test cricket capacity and targeted program expansion.
19,Gosnells,Western Australia,87.67123287671234,Tier 2 — High,Mixed / Moderate Opportunity,88.21917808219179,82.46575342465754,92.32876712328768,Selective investigation; prioritise based on local context and strategic fit.
20,Maitland,New South Wales,86.98630136986301,Tier 2 — High,Mixed / Moderate Opportunity,80.82191780821918,87.67123287671232,92.46575342465754,Selective investigation; prioritise based on local context and strategic fit.
21,Serpentine-Jarrahdale,Western Australia,86.48401826484019,Tier 2 — High,Emerging Young Growth Market,65.20547945205479,99.17808219178083,95.06849315068493,Early intervention market; build delivery capacity before growth outpaces supply.
22,Moreton Bay,Queensland,85.66210045662099,Tier 2 — High,Mixed / Moderate Opportunity,99.45205479452055,75.06849315068493,82.46575342465754,Selective investigation; prioritise based on local context and strategic fit.
23,Penrith,New South Wales,85.4337899543379,Tier 2 — High,Mixed / Moderate Opportunity,94.24657534246576,78.35616438356165,83.69863013698631,Selective investigation; prioritise based on local context and strategic fit.
24,Mitchell,Victoria,84.42922374429223,Tier 2 — High,Emerging Young Growth Market,69.31506849315069,88.4931506849315,95.4794520547945,Early intervention market; build delivery capacity before growth outpaces supply.
25,Kwinana,Western Australia,83.37899543378995,Tier 2 — High,Emerging Young Growth Market,68.76712328767123,86.57534246575342,94.79452054794521,Early intervention market; build delivery capacity before growth outpaces supply.
26,Wollondilly,New South Wales,83.33333333333334,Tier 2 — High,Emerging Young Growth Market,71.5068493150685,90.68493150684932,87.8082191780822,Early intervention market; build delivery capacity before growth outpaces supply.
27,Sunshine Coast,Queensland,81.9634703196347,Tier 2 — High,Large Growth Market,97.53424657534246,57.26027397260274,91.0958904109589,Scale acquisition around large and growing junior markets; test club/program capacity.
28,Joondalup,Western Australia,81.82648401826484,Tier 2 — High,Large Growth Market,90.95890410958904,72.6027397260274,81.91780821917808,Scale acquisition around large and growing junior markets; test club/program capacity.
29,Lake Macquarie,New South Wales,81.59817351598173,Tier 2 — High,Large Growth Market,93.42465753424658,64.38356164383562,86.98630136986301,Scale acquisition around large and growing junior markets; test club/program capacity.
30,Gladstone,Queensland,81.55251141552512,Tier 2 — High,Emerging Young Growth Market,74.79452054794521,92.32876712328768,77.53424657534246,Early intervention market; build delivery capacity before growth outpaces supply.
31,Palmerston,Northern Territory,81.55251141552512,Tier 2 — High,Emerging Young Growth Market,66.02739726027397,96.43835616438356,82.1917808219178,Early intervention market; build delivery capacity before growth outpaces supply.
32,Ballarat,Victoria,80.50228310502283,Tier 2 — High,Large Growth Market,81.91780821917808,70.68493150684931,88.9041095890411,Scale acquisition around large and growing junior markets; test club/program capacity.
33,Cessnock,New South Wales,79.86301369863014,Tier 3 — Moderate-High,Emerging Young Growth Market,73.42465753424658,75.89041095890411,90.27397260273973,Early intervention market; build delivery capacity before growth outpaces supply.
34,Mackay,Queensland,79.49771689497717,Tier 3 — Moderate-High,Mixed / Moderate Opportunity,84.65753424657534,77.8082191780822,76.02739726027397,Selective investigation; prioritise based on local context and strategic fit.
35,Karratha,Western Australia,79.3607305936073,Tier 3 — Moderate-High,Emerging Young Growth Market,52.602739726027394,99.45205479452055,86.02739726027397,Early intervention market; build delivery capacity before growth outpaces supply.
36,Queanbeyan-Palerang,New South Wales,78.9041095890411,Tier 3 — Moderate-High,Rapid Growth Market,71.78082191780823,73.6986301369863,91.23287671232876,Monitor and expand entry pathways; assess whether current cricket supply is keeping pace.
37,Unincorporated ACT,Australian Capital Territory,78.81278538812785,Tier 3 — Moderate-High,Large Growth Market,98.35616438356163,49.589041095890416,88.49315068493149,Scale acquisition around large and growing junior markets; test club/program capacity.
38,Cockburn,Western Australia,78.58447488584476,Tier 3 — Moderate-High,Large Growth Market,83.83561643835617,58.35616438356165,93.56164383561645,Scale acquisition around large and growing junior markets; test club/program capacity.
39,Macedon Ranges,Victoria,78.08219178082192,Tier 3 — Moderate-High,Emerging Young Growth Market,68.21917808219177,86.02739726027397,80.0,Early intervention market; build delivery capacity before growth outpaces supply.
40,Shellharbour,New South Wales,77.89954337899543,Tier 3 — Moderate-High,Large Growth Market,76.16438356164383,70.95890410958904,86.57534246575344,Scale acquisition around large and growing junior markets; test club/program capacity.
