LGA_CODE,LGA_NAME,STATE,TOTAL_POP_2020,TOTAL_POP_2024,TOTAL_POP_2025,POP_CHANGE_1Y,POP_GROWTH_1Y_PCT,POP_CHANGE_5Y,POP_GROWTH_5Y_PCT,IS_UNINCORPORATED,AGE_5_9_2024,AGE_10_14_2024,AGE_5_14_2024,AGE_5_14_SHARE_TOTAL_PCT,AGE_5_14_2019,AGE_5_14_CHANGE_5Y,AGE_5_14_GROWTH_5Y_PCT,GIRLS_5_14_2024,GIRLS_SHARE_OF_5_14_PCT,GIRLS_5_14_2019,GIRLS_5_14_CHANGE_5Y,GIRLS_5_14_GROWTH_5Y_PCT,LGA_NAME_2021,IRSD_SCORE_2021,IRSD_DECILE_2021,IRSAD_SCORE_2021,IRSAD_DECILE_2021,IER_SCORE_2021,IER_DECILE_2021,IEO_SCORE_2021,IEO_DECILE_2021,AGE_DATA_AVAILABLE,SEIFA_DATA_AVAILABLE,CULTURAL_DATA_AVAILABLE,CRICKET_SUPPLY_DATA_AVAILABLE
10050,Albury,New South Wales,55466,58768,59538,770,1.3102368635992376,4072,7.341434392240291,0,3795,3666,7461,12.695684726381703,6800,661,9.720588235294118,3573,47.88902291917974,3326,247,7.426337943475645,Albury,968,5,950,5,962,4,954,6,1,1,0,0
10180,Armidale,New South Wales,29600,29686,29652,-34,-0.11453210267466146,52,0.17567567567567569,0,1623,1847,3470,11.689011655325743,3812,-342,-8.971668415529905,1694,48.81844380403459,1942,-248,-12.770339855818744,Armidale Regional,980,6,976,7,955,3,1010,9,1,1,0,0
10250,Ballina,New South Wales,45663,48135,48603,468,0.9722655032720474,2940,6.438473162078708,0,2498,2858,5356,11.127038537446763,5271,85,1.6125972301271108,2479,46.28454070201643,2500,-21,-0.84,Ballina,1015,8,996,8,1011,8,991,8,1,1,0,0
10300,Balranald,New South Wales,2257,2256,2244,-12,-0.5319148936170213,-13,-0.5759858218874613,0,136,156,292,12.943262411347517,316,-24,-7.59493670886076,145,49.65753424657534,149,-4,-2.684563758389262,Balranald,960,4,934,4,970,4,915,3,1,1,0,0
10470,Bathurst,New South Wales,43444,44999,45359,360,0.8000177781728482,1915,4.407973483104686,0,2762,2906,5668,12.595835463010289,5795,-127,-2.1915444348576356,2711,47.82992237120677,2815,-104,-3.6944937833037303,Bathurst Regional,991,7,967,7,999,7,959,7,1,1,0,0
10500,Bayside (NSW),New South Wales,176184,186061,187770,1709,0.918515970568792,11586,6.576079553194387,0,8495,8031,16526,8.882033311655855,17091,-565,-3.305833479609151,8063,48.7897857920852,8300,-237,-2.855421686746988,Bayside (NSW),1004,7,1044,9,966,4,1051,9,1,1,0,0
10550,Bega Valley,New South Wales,35428,36700,36921,221,0.6021798365122616,1493,4.214180873885063,0,1838,2068,3906,10.643051771117166,3909,-3,-0.07674597083653108,1871,47.900665642601126,1873,-2,-0.10678056593699946,Bega Valley,986,6,949,5,987,6,946,6,1,1,0,0
10600,Bellingen,New South Wales,13152,13312,13348,36,0.2704326923076923,196,1.4902676399026764,0,644,929,1573,11.81640625,1688,-115,-6.812796208530806,759,48.25174825174825,822,-63,-7.664233576642336,Bellingen,981,6,960,6,983,6,985,8,1,1,0,0
10650,Berrigan,New South Wales,8653,8716,8773,57,0.6539697108765489,120,1.3868022651103662,0,404,535,939,10.773290500229463,1026,-87,-8.47953216374269,478,50.905218317358894,506,-28,-5.533596837944664,Berrigan,966,5,927,4,974,5,913,3,1,1,0,0
10750,Blacktown,New South Wales,391911,439552,449385,9833,2.237050451368666,57474,14.665064262039085,0,33506,32518,66024,15.02074839836925,56453,9571,16.953926274954387,32468,49.17605719132437,27320,5148,18.843338213762813,Blacktown,987,6,1006,8,1020,9,993,8,1,1,0,0
10800,Bland,New South Wales,5649,5465,5455,-10,-0.18298261665141813,-194,-3.434236147990795,0,351,366,717,13.11985361390668,780,-63,-8.076923076923077,351,48.95397489539749,388,-37,-9.536082474226804,Bland,993,7,958,6,1001,7,939,5,1,1,0,0
