LGA_CODE,LGA_NAME,STATE,TOTAL_POP_2020,TOTAL_POP_2024,TOTAL_POP_2025,POP_CHANGE_1Y,POP_GROWTH_1Y_PCT,POP_CHANGE_5Y,POP_GROWTH_5Y_PCT,IS_UNINCORPORATED
10050,Albury,New South Wales,55466,58768,59538,770,1.3102368635992376,4072,7.341434392240291,0
10180,Armidale,New South Wales,29600,29686,29652,-34,-0.11453210267466146,52,0.17567567567567569,0
10250,Ballina,New South Wales,45663,48135,48603,468,0.9722655032720474,2940,6.438473162078708,0
10300,Balranald,New South Wales,2257,2256,2244,-12,-0.5319148936170213,-13,-0.5759858218874613,0
10470,Bathurst,New South Wales,43444,44999,45359,360,0.8000177781728482,1915,4.407973483104686,0
10500,Bayside (NSW),New South Wales,176184,186061,187770,1709,0.918515970568792,11586,6.576079553194387,0
10550,Bega Valley,New South Wales,35428,36700,36921,221,0.6021798365122616,1493,4.214180873885063,0
10600,Bellingen,New South Wales,13152,13312,13348,36,0.2704326923076923,196,1.4902676399026764,0
10650,Berrigan,New South Wales,8653,8716,8773,57,0.6539697108765489,120,1.3868022651103662,0
10750,Blacktown,New South Wales,391911,439552,449385,9833,2.237050451368666,57474,14.665064262039085,0
10800,Bland,New South Wales,5649,5465,5455,-10,-0.18298261665141813,-194,-3.434236147990795,0
10850,Blayney,New South Wales,7484,7768,7831,63,0.8110195674562307,347,4.636557990379477,0
10900,Blue Mountains,New South Wales,79031,78847,79236,389,0.493360559057415,205,0.2593918841973403,0
10950,Bogan,New South Wales,2514,2406,2373,-33,-1.3715710723192018,-141,-5.608591885441527,0
11150,Bourke,New South Wales,2483,2366,2310,-56,-2.366863905325444,-173,-6.967378171566653,0
11200,Brewarrina,New South Wales,1525,1401,1396,-5,-0.35688793718772305,-129,-8.459016393442623,0
11250,Broken Hill,New South Wales,17718,17599,17515,-84,-0.47729984658219216,-203,-1.1457275087481658,0
11300,Burwood,New South Wales,40670,43352,43927,575,1.3263517254105923,3257,8.008359970494222,0
11350,Byron,New South Wales,35715,38087,38784,697,1.8300207419854542,3069,8.593028139437212,0
11400,Cabonne,New South Wales,13814,13917,13915,-2,-0.014370913271538407,101,0.7311423193861301,0
11450,Camden,New South Wales,112451,141258,146483,5225,3.6989055487122857,34032,30.263848253906144,0
11500,Campbelltown (NSW),New South Wales,175725,188545,191285,2740,1.4532339759739055,15560,8.854744629392517,0
11520,Canada Bay,New South Wales,91833,92357,93006,649,0.7027079701592732,1173,1.2773186109568455,0
11570,Canterbury-Bankstown,New South Wales,376638,385655,389687,4032,1.0454940296378887,13049,3.464599960704974,0
11600,Carrathool,New South Wales,2892,2772,2803,31,1.1183261183261184,-89,-3.0774550484094054,0
11650,Central Coast (NSW),New South Wales,347734,355354,357816,2462,0.6928302481469183,10082,2.8993426009536023,0
11700,Central Darling,New South Wales,1774,1776,1773,-3,-0.16891891891891891,-1,-0.05636978579481398,0
11720,Cessnock,New South Wales,62431,69432,71443,2011,2.8963590275377347,9012,14.435136390575195,0
11730,Clarence Valley,New South Wales,52893,56216,56874,658,1.1704852710971965,3981,7.526515796041064,0
11750,Cobar,New South Wales,4213,4015,4019,4,0.099626400996264,-194,-4.604794683123665,0
11800,Coffs Harbour,New South Wales,78409,81529,82109,580,0.711403304345693,3700,4.718846050836001,0
12000,Coolamon,New South Wales,4404,4636,4742,106,2.286453839516825,338,7.674841053587647,0
12150,Coonamble,New South Wales,3871,3878,3889,11,0.28365136668385765,18,0.4649961250322914,0
12160,Cootamundra-Gundagai,New South Wales,11393,11452,11429,-23,-0.2008382815228781,36,0.3159834986395155,0
12350,Cowra,New South Wales,12748,12718,12721,3,0.023588614562038056,-27,-0.21179792908691558,0
12380,Cumberland,New South Wales,240841,252839,256906,4067,1.6085334936461544,16065,6.670375891148102,0
12390,Dubbo,New South Wales,55010,57049,57384,335,0.5872144998159478,2374,4.315578985638975,0
12700,Dungog,New South Wales,9450,9911,10102,191,1.9271516496821715,652,6.8994708994708995,0
12730,Edward River,New South Wales,8547,8492,8501,9,0.10598210080075365,-46,-0.5382005382005381,0
12750,Eurobodalla,New South Wales,39917,41123,41309,186,0.45230163169029497,1392,3.487236014730566,0
12850,Fairfield,New South Wales,212148,212482,213677,1195,0.5624005798138195,1529,0.7207232686615005,0
12870,Federation,New South Wales,12726,13160,13247,87,0.6610942249240122,521,4.093980826654095,0
12900,Forbes,New South Wales,9502,9322,9301,-21,-0.22527354644925981,-201,-2.1153441380761944,0
12930,Georges River,New South Wales,155919,161742,163919,2177,1.3459707435298192,8000,5.130869233384001,0
12950,Gilgandra,New South Wales,4327,4305,4304,-1,-0.023228803716608595,-23,-0.5315461058470071,0
13010,Glen Innes Severn,New South Wales,8946,9005,9069,64,0.7107162687395892,123,1.374916163648558,0
13310,Goulburn Mulwaree,New South Wales,31934,33305,33746,441,1.3241255066806785,1812,5.6742030437777915,0
13340,Greater Hume,New South Wales,10931,11660,11742,82,0.7032590051457976,811,7.419266306833776,0
13450,Griffith,New South Wales,27249,27432,27458,26,0.094779819189268,209,0.7670006238761056,0
13550,Gunnedah,New South Wales,13024,13414,13502,88,0.6560310123751305,478,3.6701474201474205,0
