LGA_CODE,LGA_NAME_2021,IRSD_SCORE_2021,IRSD_DECILE_2021,IRSAD_SCORE_2021,IRSAD_DECILE_2021,IER_SCORE_2021,IER_DECILE_2021,IEO_SCORE_2021,IEO_DECILE_2021
10050,Albury,968,5,950,5,962,4,954,6
10180,Armidale Regional,980,6,976,7,955,3,1010,9
10250,Ballina,1015,8,996,8,1011,8,991,8
10300,Balranald,960,4,934,4,970,4,915,3
10470,Bathurst Regional,991,7,967,7,999,7,959,7
10500,Bayside (NSW),1004,7,1044,9,966,4,1051,9
10550,Bega Valley,986,6,949,5,987,6,946,6
10600,Bellingen,981,6,960,6,983,6,985,8
10650,Berrigan,966,5,927,4,974,5,913,3
10750,Blacktown,987,6,1006,8,1020,9,993,8
10800,Bland,993,7,958,6,1001,7,939,5
10850,Blayney,991,6,962,6,1020,9,942,5
10900,Blue Mountains,1048,9,1042,9,1039,9,1063,9
10950,Bogan,966,5,948,5,989,6,936,5
11150,Bourke,947,3,954,6,947,3,980,8
11200,Brewarrina,818,1,866,1,789,1,917,4
11250,Broken Hill,913,2,892,2,919,2,887,2
11300,Burwood,977,5,1050,9,926,2,1082,10
11350,Byron,1021,8,1027,9,1009,8,1052,9
11400,Cabonne,1023,8,995,8,1044,10,975,8
11450,Camden,1045,9,1050,9,1098,10,1002,8
11500,Campbelltown (NSW),947,3,952,5,981,5,949,6
11520,Canada Bay,1067,10,1116,10,1021,9,1123,10
11570,Canterbury-Bankstown,917,2,966,7,949,3,996,8
11600,Carrathool,973,5,953,6,980,5,941,5
11650,Central Coast (NSW),994,7,978,7,1005,8,967,7
11700,Central Darling,827,1,869,1,853,1,929,5
11720,Cessnock,939,3,908,3,984,6,876,1
11730,Clarence Valley,940,3,910,3,963,4,901,3
11750,Cobar,965,5,937,4,977,5,904,3
11800,Coffs Harbour,972,5,954,6,982,6,953,6
12000,Coolamon,983,6,951,5,1006,8,941,5
12150,Coonamble,883,1,893,2,922,2,919,4
12160,Cootamundra-Gundagai Regional,953,4,926,3,965,4,918,4
12350,Cowra,932,3,908,2,950,3,908,3
12380,Cumberland,904,2,961,6,931,2,995,8
12390,Dubbo Regional,985,6,958,6,988,6,944,6
12700,Dungog,1009,8,974,7,1040,9,945,6
12730,Edward River,966,5,939,4,971,4,935,5
12750,Eurobodalla,985,6,946,5,983,6,941,5
12850,Fairfield,814,1,885,2,937,2,919,4
12870,Federation,969,5,925,3,976,5,897,2
12900,Forbes,969,5,941,5,977,5,938,5
12930,Georges River,1011,8,1048,9,999,7,1060,9
12950,Gilgandra,930,3,913,3,955,3,923,4
13010,Glen Innes Severn,906,2,891,2,929,2,907,3
13310,Goulburn Mulwaree,972,5,945,5,985,6,926,4
13340,Greater Hume Shire,999,7,964,6,1018,9,956,6
13450,Griffith,974,5,950,5,985,6,920,4
13550,Gunnedah,967,5,940,4,989,6,909,3
13660,Gwydir,957,4,936,4,978,5,947,6
13800,Hawkesbury,1026,8,1008,9,1056,10,969,7
13850,Hay,956,4,926,3,950,3,903,3
13910,Hilltops,954,4,929,4,974,5,927,4
14000,Hornsby,1082,10,1116,10,1082,10,1121,10
14100,Hunters Hill,1101,10,1156,10,1088,10,1163,10
14170,Inner West,1057,10,1118,10,993,7,1141,10
14220,Inverell,928,2,906,2,950,3,899,2
14300,Junee,934,3,918,3,977,5,904,3
14350,Kempsey,903,2,881,2,943,3,882,2
14400,Kiama,1070,10,1061,9,1062,10,1058,9
14500,Ku-ring-gai,1108,10,1165,10,1117,10,1174,10
14550,Kyogle,921,2,906,2,950,3,929,4
14600,Lachlan,950,3,936,4,957,3,944,6
14650,Lake Macquarie,1004,7,981,7,1011,8,963,7
14700,Lane Cove,1105,10,1162,10,1058,10,1180,10
14750,Leeton,949,3,922,3,979,5,896,2
14850,Lismore,966,5,945,5,970,4,959,7
14870,Lithgow,935,3,912,3,960,3,889,2
14900,Liverpool,931,3,968,7,999,7,976,8
14920,Liverpool Plains,926,2,905,2,951,3,896,2
14950,Lockhart,976,5,950,5,1002,7,961,7
15050,Maitland,988,6,963,6,1015,8,934,5
15240,Mid-Coast,943,3,912,3,963,4,905,3
15270,Mid-Western Regional,979,5,949,5,1002,7,919,4
15300,Moree Plains,940,3,932,4,946,3,927,4
15350,Mosman,1110,10,1169,10,1065,10,1185,10
15520,Murray River,998,7,965,7,1007,8,940,5
15560,Murrumbidgee,983,6,951,5,988,6,937,5
15650,Muswellbrook,937,3,908,2,972,4,862,1
15700,Nambucca Valley,920,2,898,2,946,3,906,3
15750,Narrabri,964,4,936,4,975,5,912,3
15800,Narrandera,929,2,910,3,950,3,907,3
15850,Narromine,958,4,934,4,980,5,929,5
15900,Newcastle,1012,8,1012,9,976,5,1023,9
15950,North Sydney,1096,10,1164,10,985,6,1193,10
15990,Northern Beaches,1089,10,1125,10,1087,10,1109,10
16100,Oberon,978,5,948,5,1007,8,928,4
16150,Orange,997,7,979,7,994,7,972,7
16200,Parkes,946,3,922,3,959,3,914,3
