LGA_CODE,STATE,AGE_5_9_2024,AGE_10_14_2024,AGE_5_14_2024,AGE_5_14_SHARE_TOTAL_PCT,AGE_5_14_2019,AGE_5_14_CHANGE_5Y,AGE_5_14_GROWTH_5Y_PCT,GIRLS_5_14_2024,GIRLS_SHARE_OF_5_14_PCT,GIRLS_5_14_2019,GIRLS_5_14_CHANGE_5Y,GIRLS_5_14_GROWTH_5Y_PCT
10050,New South Wales,3795,3666,7461,12.695684726381703,6800,661,9.720588235294118,3573,47.88902291917974,3326,247,7.426337943475645
10180,New South Wales,1623,1847,3470,11.689011655325743,3812,-342,-8.971668415529905,1694,48.81844380403459,1942,-248,-12.770339855818744
10250,New South Wales,2498,2858,5356,11.127038537446763,5271,85,1.6125972301271108,2479,46.28454070201643,2500,-21,-0.84
10300,New South Wales,136,156,292,12.943262411347517,316,-24,-7.59493670886076,145,49.65753424657534,149,-4,-2.684563758389262
10470,New South Wales,2762,2906,5668,12.595835463010289,5795,-127,-2.1915444348576356,2711,47.82992237120677,2815,-104,-3.6944937833037303
10500,New South Wales,8495,8031,16526,8.882033311655855,17091,-565,-3.305833479609151,8063,48.7897857920852,8300,-237,-2.855421686746988
10550,New South Wales,1838,2068,3906,10.643051771117166,3909,-3,-0.07674597083653108,1871,47.900665642601126,1873,-2,-0.10678056593699946
10600,New South Wales,644,929,1573,11.81640625,1688,-115,-6.812796208530806,759,48.25174825174825,822,-63,-7.664233576642336
10650,New South Wales,404,535,939,10.773290500229463,1026,-87,-8.47953216374269,478,50.905218317358894,506,-28,-5.533596837944664
10750,New South Wales,33506,32518,66024,15.02074839836925,56453,9571,16.953926274954387,32468,49.17605719132437,27320,5148,18.843338213762813
10800,New South Wales,351,366,717,13.11985361390668,780,-63,-8.076923076923077,351,48.95397489539749,388,-37,-9.536082474226804
10850,New South Wales,531,577,1108,14.263645726055612,1088,20,1.8382352941176472,534,48.194945848375454,531,3,0.5649717514124294
10900,New South Wales,4565,5030,9595,12.169137697058861,10095,-500,-4.952947003467063,4718,49.17144346013549,4930,-212,-4.300202839756592
10950,New South Wales,159,163,322,13.383208645054031,324,-2,-0.6172839506172839,159,49.378881987577635,168,-9,-5.357142857142857
11150,New South Wales,145,193,338,14.285714285714285,356,-18,-5.056179775280898,161,47.633136094674555,183,-22,-12.021857923497267
11200,New South Wales,83,103,186,13.276231263383298,241,-55,-22.821576763485478,89,47.8494623655914,112,-23,-20.535714285714285
