LGA,source_org,date,evidence,url
Wyndham,Cricket Victoria,2025-07-24,Wyndham cricket participation +8% YoY; women/girls +18%,https://www.cricketvictoria.com.au/news/news/cricket-victoria-welcomes-new-state-government-investment-in-community-access-to-school-sporting-grounds/
Wyndham,Wyndham City,2024/25 Q1,Lighting at Truganina/Tarneit to increase carrying capacity,https://www.wyndham.vic.gov.au/sites/default/files/2025-07/Quarterly%20Community%20Report%20-%20Quarter%201%20%28Jul%20Aug%20Sept%29%202024.25.pdf
Blacktown,Blacktown City Council,2024-08-04,Year-round cricket requests cannot be met due to field shortage,https://www.blacktown.nsw.gov.au/News-Media/Infrastructure-must-be-priority-in-rezoning-Sydney%E2%80%99s-north-west
Blacktown,Cricket NSW,2026-01-21,Blacktown association won Junior Initiative award,https://www.cricketnsw.com.au/news/4437876/202526-nsw-community-cricket-awards-announced
Ipswich,Ipswich City Council,2026-04-28,New South Ripley sports oval seeking cricket/AFL users,https://www.ipswich.qld.gov.au/News-Articles-Folder/2026/Brand-new-South-Ripley-sports-oval-looks-for-clubs-to-call-it-home
Ipswich,Queensland Cricket,2024-03-28,Strollers >110 juniors/Blasters; new Springfield grounds,https://www.qldcricket.com.au/news/3943341/south-east-queensland-volunteer-of-the-year
Armadale,WA Cricket,2023-11-19,Gwynne Park Pavilion upgrade incl. four all-gender changerooms,https://www.wacricket.com.au/news/3790282/infrastructure-upgrades-providing-equal-facilities-for-all
Armadale,City of Armadale,current page,Gwynne Park largest recreation reserve / master-plan context,https://my.armadale.wa.gov.au/service/master-plans
Maitland,Maitland City Council,2025-05-13,$10m Chisholm sportsground incl. turf cricket wicket,https://www.maitland.nsw.gov.au/news/breaking-ground-work-underway-on-chisholms-first-sportsground
Maitland,Cricket NSW,2025-06-04,All-girls 7–14 winter cricket clinic in Maitland,https://www.cricketnsw.com.au/news/4278574/winter-cricket-programs-surge-across-nsw
